videoId,actualStartTime,actualEndTime,duration_in_minutes
03783ee0758cd11ffcbbef83e54f823cba9aa45dfa5fcb3578574a540feedf6e,2024-04-30T17:59:28Z,2024-04-30T21:01:29Z,182.0166667
14e1798107dd526369e8de67fcfbd949f1363820bf5635a57e35c8d00ab7b6a3,2024-04-30T04:59:23Z,2024-04-30T20:59:22Z,959.9833333
01fab1a65fd4ee7fd099ae803c6ac99bc8ac9b0959f81a1abfa90237b1425d77,2024-04-30T14:05:01Z,2024-04-30T21:00:09Z,415.1333333
665a2ebbda6d08e369ca96534bdd48d3c30ec2fc4ec303cb1e558b91e519abbd,2024-04-30T18:34:49Z,2024-04-30T21:01:19Z,146.5
c02b39c05b31e3482e1800732ad94ae177dd64d3de8df0ea1ed7183e1fb2cf15,2024-04-30T16:45:35Z,2024-04-30T20:58:46Z,253.1833333
328f09b2fa9ca12f201a9bb85eaf7fc062c80b0f601aaf3e50692f0283dd644b,2024-04-30T17:17:37Z,2024-04-30T21:01:30Z,223.8833333
c04c4efce5d38d8341fbb16428230ac30f7546e9f87e7d7e7a2cbc5af53074b7,2024-04-30T18:01:06Z,2024-04-30T20:51:42Z,170.6
f47df52315bebb5829c5ef2aee3fe8a23047265444c364c7f76281c839f6a63e,2024-04-30T16:41:08Z,2024-04-30T21:05:05Z,263.95
4cf999e75baf1d0182dbf39d14dadd663b03d2a26db9ae2e025f2ba0061d3663,2024-04-29T23:25:32Z,2024-04-30T21:05:08Z,1299.6
44c411d59337c5f31059d57dcfe53fc89fa7092342fa869b088ef4e356a8d50e,2024-04-30T11:05:41Z,2024-04-30T21:03:31Z,597.8333333
22b1daad58c2b35e51f72767fd09927809005311be2f4abae37319758a918f68,2024-04-30T17:50:53Z,2024-04-30T21:06:12Z,195.3166667
6a2b39fbab7102bee646dd29236eeb8cf27e05fcaf6c665673bd96406181149f,2024-04-30T20:00:19Z,2024-04-30T21:02:42Z,62.38333333
24cf434ae9ade252eb940b19ff9af68730a8d3ed4c117c33a4069fee8ea17b0b,2024-04-30T16:42:47Z,2024-04-30T21:08:08Z,265.35
